freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.173e+02,4.254e+01,1.039e+02,8.638e+02
1.6,5.399e+02,1.573e+02,2.976e+02,9.947e+02
3.1,1.771e+02,1.566e+02,3.224e+02,6.561e+02
4.7,5.315e+02,1.605e+02,3.164e+02,1.008e+03
6.2,1.514e+03,1.612e+02,3.556e+02,2.031e+03
7.8,2.397e+03,1.725e+02,3.574e+02,2.927e+03
9.3,3.402e+03,1.618e+02,3.389e+02,3.902e+03
10.9,4.607e+03,1.559e+02,2.746e+02,5.037e+03
12.5,6.326e+03,1.655e+02,2.754e+02,6.767e+03
14.0,8.462e+03,1.657e+02,2.967e+02,8.924e+03
15.6,1.159e+04,1.779e+02,3.696e+02,1.214e+04
17.1,1.525e+04,1.840e+02,3.442e+02,1.578e+04
18.7,1.610e+04,1.808e+02,3.332e+02,1.661e+04
20.2,1.624e+04,1.769e+02,3.155e+02,1.674e+04
21.8,1.946e+04,1.830e+02,3.165e+02,1.996e+04
23.4,2.431e+04,1.777e+02,3.244e+02,2.481e+04
24.9,3.045e+04,1.840e+02,3.713e+02,3.100e+04
26.5,3.722e+04,1.748e+02,4.010e+02,3.780e+04
28.0,4.496e+04,1.931e+02,4.629e+02,4.562e+04
29.6,5.446e+04,2.167e+02,5.248e+02,5.520e+04
31.1,6.812e+04,2.112e+02,6.934e+02,6.902e+04
32.7,8.564e+04,2.259e+02,9.637e+02,8.683e+04
34.3,1.106e+05,2.404e+02,9.625e+02,1.118e+05
35.8,1.430e+05,2.267e+02,1.038e+03,1.443e+05
37.4,1.886e+05,2.343e+02,1.460e+03,1.903e+05
38.9,2.463e+05,2.642e+02,2.511e+03,2.490e+05
40.5,3.226e+05,3.327e+02,4.318e+03,3.272e+05
42.0,4.376e+05,5.766e+02,8.585e+03,4.468e+05
43.6,5.917e+05,1.666e+03,2.075e+04,6.141e+05
45.2,8.310e+05,9.544e+03,8.396e+04,9.245e+05
46.7,1.216e+06,3.443e+04,2.426e+05,1.493e+06
48.3,1.668e+06,5.022e+04,2.982e+05,2.016e+06
49.8,1.898e+06,5.480e+04,2.677e+05,2.220e+06
51.4,1.905e+06,6.269e+04,2.663e+05,2.234e+06
52.9,1.787e+06,6.025e+04,2.267e+05,2.074e+06
54.5,1.364e+06,4.052e+04,1.321e+05,1.536e+06
56.1,9.201e+05,2.291e+04,6.193e+04,1.005e+06
57.6,5.935e+05,1.114e+04,2.399e+04,6.287e+05
59.2,4.345e+05,6.203e+03,1.162e+04,4.523e+05
60.7,3.492e+05,4.567e+03,8.452e+03,3.622e+05
