freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.374e+02,3.465e+01,7.914e+01,4.512e+02
1.6,2.835e+02,1.435e+02,1.501e+02,5.771e+02
3.1,1.364e+02,1.670e+02,1.323e+02,4.358e+02
4.7,5.553e+02,1.666e+02,1.303e+02,8.522e+02
6.2,1.647e+03,1.807e+02,1.430e+02,1.970e+03
7.8,2.694e+03,1.801e+02,1.396e+02,3.014e+03
9.3,4.102e+03,1.864e+02,1.738e+02,4.462e+03
10.9,5.895e+03,1.797e+02,3.007e+02,6.375e+03
12.4,7.701e+03,1.735e+02,4.207e+02,8.295e+03
14.0,9.220e+03,1.862e+02,3.344e+02,9.741e+03
15.5,1.175e+04,1.980e+02,2.323e+02,1.218e+04
17.1,1.632e+04,1.916e+02,2.168e+02,1.673e+04
18.7,2.347e+04,1.986e+02,5.147e+02,2.419e+04
20.2,3.374e+04,1.929e+02,1.744e+03,3.568e+04
21.8,5.019e+04,1.873e+02,5.605e+03,5.598e+04
23.3,7.802e+04,1.862e+02,1.237e+04,9.057e+04
24.9,1.361e+05,2.125e+02,2.068e+04,1.570e+05
26.4,2.883e+05,2.368e+02,3.267e+04,3.212e+05
28.0,4.939e+05,3.543e+02,5.018e+04,5.444e+05
29.5,4.026e+05,3.886e+02,6.294e+04,4.659e+05
31.1,2.036e+05,3.574e+02,6.913e+04,2.731e+05
32.6,1.272e+05,4.242e+02,7.363e+04,2.013e+05
34.2,1.208e+05,4.374e+02,4.651e+04,1.678e+05
35.8,1.269e+05,6.014e+02,1.186e+04,1.393e+05
37.3,1.224e+05,8.251e+02,7.469e+03,1.307e+05
38.9,1.124e+05,1.136e+03,1.539e+04,1.290e+05
40.4,1.014e+05,1.321e+03,1.545e+04,1.181e+05
42.0,9.428e+04,1.305e+03,1.052e+04,1.061e+05
43.5,8.853e+04,1.454e+03,1.064e+04,1.006e+05
45.1,8.448e+04,1.958e+03,1.190e+04,9.834e+04
46.6,8.096e+04,2.840e+03,1.111e+04,9.491e+04
48.2,7.661e+04,3.650e+03,1.061e+04,9.086e+04
